Rank,Player Name,Player Alliance,Points
245,lolqzdno,[GDI] GolgDiggers,1351747
246,PreacheR,[P1MP]JU1CE,1339676
247,Лиза1982,[Sold] Soldiers S119,1330624
248,Twiga,[GDI] GolgDiggers,1329960
249,Karinkasss,[Bigg] Бароны,1327246
250,Toblinice,[P1MP]JU1CE,1320390
251,sweertvi,[Sold] Soldiers S119,1311602
252,•МАУИ*,[GDI] GolgDiggers,1300357
253,InkedBabyeePIMP,[P1MP]JU1CE,1299251
254,Hacheslav,[CHIL] ChillEmpire S119,1286146
255,KILLABWOY2002,[P1MP]JU1CE,1285406
256,Squad0o,[P1MP]JU1CE,1285375
257,alant,[CLAV] ВОЙНЫ S119,1281120
258,Vetaliy,[CHIL] ChillEmpire S119,1274366
259,1STQ8,[P1MP]JU1CE,1270859
260,плутик,[BNN] Banana S119,1268845
261,сяусу,[HLCZ] HellsCrazy S119,1246921
262,Brody138,[P1MP]JU1CER,1232280
263,Злая •Ведьма,[GDI] GolgDiggers,1216723
264,Karakhan,[Bigg] Бароны,1212938
265,Berzloi,[Bigg] Бароны,1206883
266,CheckMateBB,[HDG] HérosdeGuerre,1174886
267,Pilotad,[BNN] Banana S119,1172732
268,InvaderPimp,[P1MP]JU1CE,1169140
269,Qew,[AZT] AntiZombieTeam,1166330
270,Titania008,[OUTS] OUTSIDERS,1166129
271,B3N,[P1MP]JU1CE,1154874
272,TeamGwada,[OUTS] OUTSIDERS,1141470
273,MoRaLiStKa,[STLG] SteelLegion S119,1138402
274,Chris777,[CHIL] ChillEmpire S119,1134930
275,-Дюша-,[Hhhh] Xpovos S119,1123944
276,ksenn,[OFF] OnlyForFans S119,1120683
277,ivanpizdorvan,[GDI] GolgDiggers,1110905
278,Хужа,[STLG] SteelLegion S119,1105873
279,Badhead,[Bigg] Бароны,1102025
280,JSP Eo,[P2MP] NowaPolandia,1094002
281,GREK7,[SORI] ВРЕДНЫЕ S119,1093916
282,Molodaya,[TSR2] TheShardofReality2 S119,1090463
283,Шира76,[ALIN] RUSalina,1081738
284,Thirdspace,[AZT] AntiZombieTeam,1079080
285,Mfsz81,[AZT] AntiZombieTeam,1073209
286,sesil34,[GDI] GolgDiggers,1071366
287,Nazz8888,[CHIL] ChillEmpire S119,1069979
288,Zhuravl,[OFF] OnlyForFans S119,1069150
289,Dedem34,[DOOM] Armageddon S119,1065828
290,Пчел,[Hhhh] Xpovos S119,1063768
291,Цезарь26,[Sold] Soldiers S119,1060423
292,Slickback,[P1MP]JU1CE,1053401
293,mrWh1te,[TSR2] TheShardofReality2 S119,1050157
294,Teamsneakeys,[OUTS] OUTSIDERS,1045972
295,Liberinn,[SKG] Horizon S119,1040191
296,toufik,[Bigg] Бароны,1034090
297,Adyyyyyy,[ARF2] БесячаяГвардия S119,1031593
298,KosValerievich,[Sold] Soldiers S119,1029813
299,Bobanana,[KRS] KRATOS,1022653
300,Paxxxxxiuนน,[OFF] OnlyForFans S119,1009580
301,Денис1623,[SKG] Horizon S119,1009483
302,Liptoo,[STLG] SteelLegion S119,1005697
303,BlackEgg,[HDG] HérosdeGuerre,1002698
304,M1kky,[HDG] HérosdeGuerre,998931
305,moskit,[Sold] Soldiers S119,992389
306,ооооомакарена,[DOOM] Armageddon S119,989526
307,SonyR,[SORI] ВРЕДНЫЕ S119,986869
308,--Beda--,[OFF] OnlyForFans S119,970188
309,AskaRafush,[ALIN] RUSalina,964026
310,Disorder762,[P1MP]JU1CE,962344
311,statusguo,[CHIL] ChillEmpire S119,958851
312,HAMMERS,[P1MP]JU1CE,954365
313,Tereh,[Hhhh] Xpovos S119,954235
314,nerfly,[STLG] SteelLegion S119,953970
315,ХОЛОДНЫЙ,[ARF2] БесячаяГвардия S119,953321
316,UnManco,[1Lr] resistencia,952600
317,Viktor11a,[Sold] Soldiers S119,949521
318,Pepjakin,[TSR2] TheShardofReality2 S119,947839
319,Hodjachij,[Bigg] Бароны,943761
320,Sěmargl,[OFF] OnlyForFans S119,937605
321,1Евгений,[GDI] GolgDiggers,935947
322,EveryOneF,[DOOM] Armageddon S119,932682
323,ильватан,[OFF] OnlyForFans S119,923557
324,Dastigator,[Bigg] Бароны,914770
325,Bossman2,[KRS] KRATOS,913618
326,Si4ka,[STLG] SteelLegion S119,900230
327,laggingPotato,[P1MP]JU1CE,898192
328,Тэто,[CHIL] ChillEmpire S119,897093
329,dredcat,[OFF] OnlyForFans S119,894115
330,MajsterJoe,[AZT] AntiZombieTeam,883517
331,Igel9780,[OFF] OnlyForFans S119,883185
332,Kalissandre,[HDG] HérosdeGuerre,882667
333,pobegaika,[Sold] Soldiers S119,879698
334,MõõnChild,[ALIN] RUSalina,876887
335,Синичка,[CHIL] ChillEmpire S119,869992
336,zoombie,[P2MP] NowaPolandia,861571
337,paulo5720,[KRS] KRATOS,858462
338,Mol4yn,[Sold] Soldiers S119,856471
339,LeRoiChameau,[KRS] KRATOS,856356
340,Drekamaor,[HDG] HérosdeGuerre,855229
341,Chmoshnik,[WIn] OnlyWin S119,851355
342,BАРВАР,[CLAV] ВОЙНЫ S119,850824
343,Agam0017,[P1MP]JU1CE,849981
344,ДЖЖИ,[CHIL] ChillEmpire S119,846582
345,ПалачБоб,[Hhhh] Xpovoç S119,842340
346,tonyk152,[GDI] GolgDiggers,837319
347,АптечниК,[cHIL] ChillEmpire S119,837240
348,지공이,[GDI] GolgDiggers,836733
349,L-first,[Bigg] Бароны,835919
350,GHOST,[TSR2] TheShardofReality2 S119,828498
351,KiSuLya,[CHIL] ChillEmpire S119,828380
352,Натали®,[ARF2] БесячаяГвардия S119,823625
353,JimmyNeutron,[SKG] Horizon S119,823317
354,Долаан,[TSR2] TheShardofReality2 S119,822975
355,Darrk,[Sold] Soldiers S119,820173
356,зануда92,[TSR2] TheShardofReality2 S119,818081
357,kyznetc,[ARF2] БесячаяГвардия S119,817270
358,Ma3afone,[GDI] GolgDiggers,814452
359,ㅕㅑㅐ,[AZT] AntiZombieTeam,813847
360,Commander2ifHkIV,[IVIN] Invincibililtaliani S119,808780
361,Aleksandr,[Sold] Soldiers S119,808047
362,teku4iov,[STLG] SteelLegion S119,801121
363,Shunter,[P1MP]JU1CE,797788
364,Staemmo,[P1MP]JU1CE,793033
365,ZombieKiller544,[AZT] AntiZombieTeam,789700
366,ZlayaFeya,[CHIL] ChillEmpire S119,788074
367,JamesSullivan,[OFF] OnlyForFans S119,787157
368,Термитиус,[cHIL] ChillEmpire S119,783406
369,FairyDust,[STLG] SteelLegion S119,782630
370,DarkTime66,[P1MP]JU1CE,781423
371,OOBASTEToO,[WIn] OnlyWin S119,780654
372,snaiperpool,[DOOM] Armageddon S119,780612
373,shrek7,[RTR] RETRO S119,780152
374,yellowBlueHeart,[DOOM] Armageddon S119,771048
375,BabeK,[TSR2] TheShardofReality2 S119,764024
376,Iforia,[TSR2] TheShardofReality2 S119,763957
377,SubjectToChange,[GDI] GolgDiggers,763322
378,Motorhed,[SKG] Horizon S119,761269
379,SveT,[STLG] SteelLegion S119,760674
380,Мявочка,[GDI] GolgDiggers,760511
381,andrew777,[DOOM] Armageddon S119,757854
382,Bahar0690,[HDG] HérosdeGuerre,756221
383,nenoo2,[STLG] SteelLegion S119,754826
384,We1s02,[GDI] GolgDiggers,752143
385,TonyLoco,[P2MP] NowaPolandia,752030
386,раин1,[WIn] OnlyWin S119,750704
387,E-Elka,[0G8b] AbyssTerritory S119,750260
388,Юрдос,[RTR] RETRO S119,741932
389,СамантаДецмон,[ARF2] БесячаяГвардия S119,740123
390,Viktor7777,[Bigg] Бароны,733430
391,Аммон,[CHIL] ChillEmpire S119,731334
392,SergoNovorossRus,[SKG] Horizon S119,731183
393,Purr,[KRS] KRATOS,727454
394,Ksuhaha,[OFF] OnlyForFans S119,726575
395,RostishkA142,[OFF] OnlyForFans S119,722482
396,Rhyzup,[P1MP]JU1CE,721714
397,Desmos,[ALIN] RUSalina,720735
398,Godfrya,[SKG] Horizon S119,718557
399,Бандит95,[DOOM] Armageddon S119,717725
400,BarDak777,[Bigg] Бароны,713018
401,Elizasnopchenko,[P1MP]JU1CE,713017
402,Скилл,[DOOM] Armageddon S119,707328
403,kvadratniy,[KRL] кристал S119,697471
404,Lenskyi,[GDI] GolgDiggers,692962
405,ПряНик,[GDI] GolgDiggers,692529
406,Котикобормотик,[CHIL] ChillEmpire S119,687590
407,Прим125,[Sold] Soldiers S119,685627
408,90V,[Hhhh] Xpovos S119,683387
409,PRIZRAK119,[DOOM] Armageddon S119,675698
410,Anu8is,[Hhhh] Xpovos S119,671959
411,Elena912912,[ARF2] БесячаяГвардия S119,671557
412,Drm,[RTR] RETRO S119,671101
413,Цунар,[CLAV] ВОЙНЫ S119,669089
414,Strond,[STLG] SteelLegion S119,660633
415,Cooper0212,[STLG] SteelLegion S119,656320
416,Solarveil,[Sold] Soldiers S119,656111
417,*DeaDoK*,[CLAV] ВОЙНЫ S119,654282
418,Obi12try,[WIn] OnlyWin S119,653597
419,Ралли2,[CHIL] ChillEmpire S119,645920
420,EvilGeniuS,[ARF2] БесячаяГвардия S119,644837
421,Androp22,[SSSE] Pensioners S119,644752
422,deadside,[G95] Grozny S119,639783
423,DubsV2,[AZT] AntiZombieTeam,639051
424,ERMAK161,[DOOM] Armageddon S119,638122
425,Бутрагенио,[Bigg] Бароны,633226
426,Adel716,[CHIL] ChillEmpire S119,632484
427,КАРАБАС,[TSR2] TheShardofReality2 S119,630443
428,Айлен,[SKG] Horizon S119,628405
429,Butter-san,[GDI] GolgDiggers,626721
430,Bsanya,[CHIL] ChillEmpire S119,625400
431,Серррый,[OFF] OnlyForFans S119,624778
432,KuZgun,[CHIL] ChillEmpire S119,624564
433,LizAlbertin,[GDI] GolgDiggers,620258
434,aLVLad,[OFF] OnlyForFans S119,619218
435,Peiro,[P2MP] NowaPolandia,617140
436,€MrBrown€,[CHIL] ChillEmpire S119,615013
437,АланСПК,[WIn] OnlyWin S119,612471
438,Armen126,[SORI] ВРЕДНЫЕ S119,612180
439,météor,[CHIL] ChillEmpire S119,609188
440,Taniern,[KRS] KRATOS,603262
441,Aki0,[Sold] Soldiers S119,595690
442,Rango46,[P2MP] NowaPolandia,595269
443,Derskay,[WIn] OnlyWin S119,594823
444,Rati,[DOOM] Armageddon S119,594560
445,Шмульке-,[CLAVI ВОЙНЫ S119,593616
446,Axuli,[HDG] HérosdeGuerre,590176
447,Skitz0,[P1MP]JU1CE,584844
448,WarDog00,[AZT] AntiZombieTeam,584392
449,OCETIN,[DOOM] Armageddon S119,582089
450,Biba...,[CHIL] ChillEmpire S119,581812
451,JustMeWondering,[AZT] AntiZombieTeam,581748
452,PhantomLord,[P1MP]JU1CE,579822
453,ИзяБластманн,[RTR] RETRO S119,575750
454,taynik,[SKG] Horizon S119,568698
455,vanzone,[AZT] AntiZombieTeam,568397
456,Orthega,[OUTS] OUTSIDERS,567514
457,Wacker,[P1MP]JU1CE,565850
458,sergeant94,[CHIL] ChillEmpire S119,555170
459,DemonKiller,[P1MP]JU1CE,554592
